Samples	SBS1	SBS2	SBS3	SBS4	SBS5	SBS6	SBS7a	SBS7b	SBS7c	SBS7d	SBS8	SBS9	SBS10a	SBS10b	SBS10c	SBS10d	SBS11	SBS12	SBS13	SBS14	SBS15	SBS16	SBS17a	SBS17b	SBS18	SBS19	SBS20	SBS21	SBS22	SBS23	SBS24	SBS25	SBS26	SBS27	SBS28	SBS29	SBS30	SBS31	SBS32	SBS33	SBS34	SBS35	SBS36	SBS37	SBS38	SBS39	SBS40	SBS41	SBS42	SBS43	SBS44	SBS45	SBS46	SBS47	SBS48	SBS49	SBS50	SBS51	SBS52	SBS53	SBS54	SBS55	SBS56	SBS57	SBS58	SBS59	SBS60	SBS84	SBS85	SBS86	SBS87	SBS88	SBS89	SBS90	SBS91	SBS92	SBS93	SBS94	SBS95
PD10010a	0.10580040838458754	0.008583040228345776	0.0	0.007747000411290834	0.15749390209253644	0.0	0.0	0.007667925286743584	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00905054454054316	0.028432466808960846	0.0	0.008070706940785129	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006120751894749818	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008345379917542896	0.0	0.00498991553474892	0.0	0.0	0.0	0.0	0.06650338845162819	0.5510694204989006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005757497900638483	0.0	0.0	0.0	0.0	0.0	0.018389278859758794	0.005978372248238874	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PD10011a	0.05830411975710986	0.0	0.021561329743043433	0.0	0.0044139839287321465	0.0	0.0	0.0	0.0	0.0	2.1957758671704984e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004999554417425084	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1615033406640374	0.0	0.0	0.004916456274789642	0.0	0.0	0.0	0.0	0.0	0.006493841365109088	0.0	0.0	0.1676869186804454	0.0	0.09677044708805771	0.47334781230538314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PD10014a	0.03218991827307153	0.0	0.0235925302472633	0.0	0.24557073481669317	0.0	0.0	0.0	0.0	0.0	0.2617133397835355	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17732207372041234	0.23397481541096465	0.0	0.0	0.0	0.008310606502432117	0.0	0.006891552022590341	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010434429223037202	0.0	0.0
PD11326a	0.03362964886883252	0.01316181277298177	0.21932092953001942	0.0	0.20637627474956038	0.0	0.0	0.0	0.0	0.0	0.23212416472599304	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07888931849007748	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014720255733989617	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08105497272455955	0.10744928088274988	0.006376447328999534	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006896894192236858	0.0
PD11327a	0.022941681753186553	0.0	0.0	0.0	0.04298757869508786	0.0	0.0	0.0	0.0	0.0	0.23199041046984198	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015295261812008194	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0168094336322602	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21850300971703945	0.4426423987766038	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008830225143971825	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PD11336a	0.1325130795337575	0.06724087124491941	0.0172995875974688	0.0	0.008115621724018774	0.012042528456682423	0.007128772555586567	0.0	0.0	0.0	0.009846847517882503	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00691445959106622	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012230605769620873	0.0	0.0	0.0	0.7191686367607281	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007498989248268865	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PD11337a	0.12190258356199281	0.06919663312181067	0.12421118875230053	0.0	0.1732368391923504	0.009687898533045048	0.0	0.0	0.0	0.0	0.024001241030499318	0.013000362762878246	0.0	0.0	0.0	0.0	0.0	0.0	0.07386135969143973	0.0	0.0	0.008684146744596348	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0467803052041735	0.0	0.0	0.0	0.0	0.007725484783095477	0.0	0.050274164236725094	0.0	0.0	0.0	0.26927017974068007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008167612644412754	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PD11338a	0.13726636877910373	0.0	0.0	0.0	0.37626914619865826	0.06839845455939365	0.0	0.01040938529438607	0.0	0.0	0.08214633975110461	0.0	0.0	0.0	0.0	0.006503899500784957	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31900640591656887	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PD11339a	0.21714264302030648	0.0	0.0	0.0	0.2655089882476009	0.0	0.0	0.0	0.0	0.0	0.019344876234570568	0.0	0.0	0.0	0.0	0.0	0.0	0.010222417634811399	0.0	0.0	0.0	0.007460027169102628	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0444692008726393	0.0	0.0	0.0	0.007021029560446248	0.0	0.0	0.0	0.0	0.0	0.4170338162235295	0.0	0.011797001036992778	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PD11340a	0.10008709703575323	0.06515693329996826	0.0940022112730892	0.0	0.1408947596170139	0.016714478333902813	0.0	0.016582996559541235	0.0	0.0	0.01632883295393773	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013855947682507174	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05818079856704394	0.0	0.0	0.0	0.45933552196946	0.018860422707782626	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
