Samples	SBS1	SBS2	SBS3	SBS4	SBS5	SBS6	SBS7a	SBS7b	SBS7c	SBS7d	SBS8	SBS9	SBS10a	SBS10b	SBS10c	SBS10d	SBS11	SBS12	SBS13	SBS14	SBS15	SBS16	SBS17a	SBS17b	SBS18	SBS19	SBS20	SBS21	SBS22	SBS23	SBS24	SBS25	SBS26	SBS27	SBS28	SBS29	SBS30	SBS31	SBS32	SBS33	SBS34	SBS35	SBS36	SBS37	SBS38	SBS39	SBS40	SBS41	SBS42	SBS43	SBS44	SBS45	SBS46	SBS47	SBS48	SBS49	SBS50	SBS51	SBS52	SBS53	SBS54	SBS55	SBS56	SBS57	SBS58	SBS59	SBS60	SBS84	SBS85	SBS86	SBS87	SBS88	SBS89	SBS90	SBS91	SBS92	SBS93	SBS94	SBS95
PD10010a	0.08680463592731243	0.023717293345171205	0.0	0.0389587302062104	0.0	0.0	0.0	0.03856107094718041	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.045514096328227796	0.047836500726820136	0.0	0.04058661128004857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03078052266257421	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04196790853425377	0.0	0.025093683070770544	0.0	0.0	0.0	0.0	0.11278633380961998	0.38190458296725843	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02895376216153097	0.0	0.0	0.0	0.0	0.0	0.02646975543121694	0.03006451260180396	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PD10011a	0.05637133286244002	0.0	0.10932348932045693	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02534949098567355	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16772219218924928	0.0	0.0	0.02492815431408507	0.0	0.0	0.0	0.0	0.0	0.032926048884174094	0.0	0.0	0.15137067994409845	0.0	0.11034987141979019	0.3216587400800324	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PD10014a	0.03112933632759389	0.0	0.0	0.0	0.13632990196439243	0.0	0.0	0.0	0.0	0.0	0.245956988848105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17765109338778767	0.28139331959345504	0.0	0.0	0.0	0.04134440370692056	0.0	0.034284755138609374	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05191020103313612	0.0	0.0
PD11326a	0.03618272650818309	0.02927348207521571	0.2376037813497104	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15636029056822237	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06993526435278151	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07340110415038709	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08406984120290577	0.2469873007327687	0.031795526039988184	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.034390683019837165	0.0
PD11327a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20849027509821394	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03661957827417074	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08475613631003058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1678709139561938	0.4577395399868086	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.044523556374582225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PD11336a	0.1068268878267838	0.05768654872961685	0.08660270515945648	0.0	0.0	0.06028557244110414	0.03568703498288129	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.034614172270193255	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.061227098011457884	0.0	0.0	0.0	0.5195296200813124	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.037540360497193864	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PD11337a	0.10587244820765607	0.07543940905133605	0.2266118417224863	0.0	0.0	0.048481578831451044	0.0	0.0	0.0	0.0	0.0	0.06505828998684163	0.0	0.0	0.0	0.0	0.0	0.0	0.07492884236813353	0.0	0.0	0.04345845939095563	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.038699956639821405	0.0	0.0	0.0	0.0	0.03866098496441357	0.0	0.07896593685178674	0.0	0.0	0.0	0.1629487070223808	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04087354496273728	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PD11338a	0.1281141887148931	0.0	0.0	0.0	0.3684545287616898	0.08828290860243683	0.0	0.052646048199097815	0.0	0.0	0.11489786118248704	0.0	0.0	0.0	0.0	0.03289383541073044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21471062912866493	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PD11339a	0.22462455230602352	0.0	0.0	0.0	0.05521334288487199	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05100868864908198	0.0	0.0	0.0	0.03722467783810801	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06548381004626094	0.0	0.0	0.0	0.03503413024578614	0.0	0.0	0.0	0.0	0.0	0.47254511924565634	0.0	0.05886567878421101	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PD11340a	0.06749862620761098	0.06951183177909027	0.17262973930533854	0.0	0.0	0.08469974166077475	0.0	0.08403346467030852	0.0	0.0	0.05649079109267423	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03667844630703463	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08818397299989235	0.0	0.0	0.0	0.2446991838364907	0.09557420214078496	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
