Samples	SBS1	SBS2	SBS3	SBS4	SBS5	SBS6	SBS7a	SBS7b	SBS7c	SBS7d	SBS8	SBS9	SBS10a	SBS10b	SBS10c	SBS10d	SBS11	SBS12	SBS13	SBS14	SBS15	SBS16	SBS17a	SBS17b	SBS18	SBS19	SBS20	SBS21	SBS22	SBS23	SBS24	SBS25	SBS26	SBS27	SBS28	SBS29	SBS30	SBS31	SBS32	SBS33	SBS34	SBS35	SBS36	SBS37	SBS38	SBS39	SBS40	SBS41	SBS42	SBS43	SBS44	SBS45	SBS46	SBS47	SBS48	SBS49	SBS50	SBS51	SBS52	SBS53	SBS54	SBS55	SBS56	SBS57	SBS58	SBS59	SBS60	SBS84	SBS85	SBS86	SBS87	SBS88	SBS89	SBS90	SBS91	SBS92	SBS93	SBS94	SBS95
PD10010a	0.10598407115461675	0.007930939533227245	0.0	0.008008492432891715	0.15486449387703136	0.0	0.0	0.008081265717887276	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009027754374673813	0.028560865174135336	0.0	0.008278071734048306	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0062040113856702645	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008879323120965493	0.0	0.005158344995382183	0.0	0.0	0.0	0.0	0.06534642509138079	0.5528695842209302	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006021448434260659	0.0	0.0	0.0	0.0	0.0	0.018664978242025777	0.006119930510872736	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PD10011a	0.057961339848504434	0.0	0.022585575127554366	0.0	0.004730747587890109	0.0	0.0	0.0	0.0	0.0	6.963338748187893e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004871676574412686	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16258993684959192	0.0	0.0	0.00468091693898572	0.0	0.0	0.0	0.0	0.0	0.006710044009855947	0.0	0.0	0.1671573563531338	0.0	0.09648893657031557	0.4722165068010073	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PD10014a	0.032104333792622064	0.0	0.02318250597636854	0.0	0.24542847843217616	0.0	0.0	0.0	0.0	0.0	0.26061188214059033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17757883196420218	0.23574548334207437	0.0	0.0	0.0	0.007967633686476634	0.0	0.0069628065646720454	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010418044100817802	0.0	0.0
PD11326a	0.033524832063045906	0.013082609148389145	0.22050749520936624	0.0	0.2067101239918278	0.0	0.0	0.0	0.0	0.0	0.23052019406189422	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07882098044666257	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014882806951800422	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08129052194101755	0.10773726814851198	0.006142284374193254	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006780883663291063	0.0
PD11327a	0.02280328437248055	0.0	0.0	0.0	0.04240893177375618	0.0	0.0	0.0	0.0	0.0	0.23264323623718555	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015541710564812633	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016109675395483417	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21835518938871212	0.44305177728497636	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009086194982593018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PD11336a	0.13297063544720478	0.0676154953905003	0.016575914411270577	0.0	0.008147855495503708	0.011926625342234261	0.007174961181832345	0.0	0.0	0.0	0.010126729920786183	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007223711510748712	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01147278030249026	0.0	0.0	0.0	0.7193535707993656	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007411720198063204	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PD11337a	0.12036037241114748	0.06861374190438776	0.12724010556434148	0.0	0.17261420324538676	0.009744486466039195	0.0	0.0	0.0	0.0	0.024607390738457215	0.012818891650345637	0.0	0.0	0.0	0.0	0.0	0.0	0.07304462932076267	0.0	0.0	0.00868328778051121	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04559537534126787	0.0	0.0	0.0	0.0	0.007479977017636255	0.0	0.04924644997859944	0.0	0.0	0.0	0.27212389351287564	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007827195068241328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PD11338a	0.13693139344656488	0.0	0.0	0.0	0.3767406663188924	0.06941723857978034	0.0	0.010611494648242008	0.0	0.0	0.08249317891730486	0.0	0.0	0.0	0.0	0.006314456827587666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31749157126162764	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PD11339a	0.2168820786230075	0.0	0.0	0.0	0.2692967105337058	0.0	0.0	0.0	0.0	0.0	0.01932499053369923	0.0	0.0	0.0	0.0	0.0	0.0	0.009867164946098064	0.0	0.0	0.0	0.007959533185195936	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04483548624221196	0.0	0.0	0.0	0.00656700052232944	0.0	0.0	0.0	0.0	0.0	0.41388000748555426	0.0	0.01138702792819769	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PD11340a	0.09951553393011206	0.06491858430501211	0.09575460688525061	0.0	0.14251414767859807	0.0177350166625702	0.0	0.015785683410687715	0.0	0.0	0.016708417785173273	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01384683832929784	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05763809697278259	0.0	0.0	0.0	0.4567146298398509	0.018868444200664684	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
