Samples	SBS1	SBS2	SBS3	SBS4	SBS5	SBS6	SBS7a	SBS7b	SBS7c	SBS7d	SBS8	SBS9	SBS10a	SBS10b	SBS10c	SBS10d	SBS11	SBS12	SBS13	SBS14	SBS15	SBS16	SBS17a	SBS17b	SBS18	SBS19	SBS20	SBS21	SBS22	SBS23	SBS24	SBS25	SBS26	SBS27	SBS28	SBS29	SBS30	SBS31	SBS32	SBS33	SBS34	SBS35	SBS36	SBS37	SBS38	SBS39	SBS40	SBS41	SBS42	SBS43	SBS44	SBS45	SBS46	SBS47	SBS48	SBS49	SBS50	SBS51	SBS52	SBS53	SBS54	SBS55	SBS56	SBS57	SBS58	SBS59	SBS60	SBS84	SBS85	SBS86	SBS87	SBS88	SBS89	SBS90	SBS91	SBS92	SBS93	SBS94	SBS95
PD10010a	0.08680463592731243	0.023717293345171205	0.0	0.0389587302062104	0.0	0.0	0.0	0.03856107094718041	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.045514096328227796	0.047836500726820136	0.0	0.04058661128004853	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03078052266257429	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04196790853425377	0.0	0.025093683070770544	0.0	0.0	0.0	0.0	0.11278633380961998	0.38190458296725843	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02895376216153101	0.0	0.0	0.0	0.0	0.0	0.02646975543121694	0.030064512601804	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PD10011a	0.05637133286244001	0.0	0.10932348932045705	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025349490985673545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16772219218924928	0.0	0.0	0.024928154314085068	0.0	0.0	0.0	0.0	0.0	0.032926048884174094	0.0	0.0	0.15137067994409845	0.0	0.11034987141979018	0.32165874008003237	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PD10014a	0.031129336327593866	0.0	0.0	0.0	0.13632990196439232	0.0	0.0	0.0	0.0	0.0	0.2459569888481048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17765109338778753	0.28139331959345565	0.0	0.0	0.0	0.041344403706920524	0.0	0.034284755138609346	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05191020103313609	0.0	0.0
PD11326a	0.03618272650818309	0.02927348207521571	0.2376037813497104	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15636029056822237	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06993526435278151	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07340110415038709	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08406984120290577	0.2469873007327687	0.031795526039988184	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.034390683019837165	0.0
PD11327a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20849027509821397	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03661957827417075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0847561363100306	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16787091395619383	0.45773953998680866	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04452355637458215	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PD11336a	0.10682688782678383	0.0576865487296167	0.0866027051594565	0.0	0.0	0.06028557244110416	0.035687034982881304	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03461417227019326	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.061227098011457905	0.0	0.0	0.0	0.5195296200813125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03754036049719388	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PD11337a	0.10587244820765601	0.075439409051336	0.22661184172248622	0.0	0.0	0.048481578831451023	0.0	0.0	0.0	0.0	0.0	0.0650582899868416	0.0	0.0	0.0	0.0	0.0	0.0	0.07492884236813349	0.0	0.0	0.043458459390955606	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03869995663982139	0.0	0.0	0.0	0.0	0.03866098496441355	0.0	0.07896593685178703	0.0	0.0	0.0	0.16294870702238073	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.040873544962737256	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PD11338a	0.1281141887148931	0.0	0.0	0.0	0.3684545287616898	0.08828290860243683	0.0	0.052646048199097815	0.0	0.0	0.11489786118248704	0.0	0.0	0.0	0.0	0.03289383541073044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21471062912866493	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PD11339a	0.22462455230602352	0.0	0.0	0.0	0.05521334288487199	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05100868864908198	0.0	0.0	0.0	0.03722467783810798	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06548381004626094	0.0	0.0	0.0	0.03503413024578614	0.0	0.0	0.0	0.0	0.0	0.47254511924565634	0.0	0.05886567878421101	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PD11340a	0.06749862620761096	0.06951183177909025	0.17262973930533868	0.0	0.0	0.08469974166077471	0.0	0.08403346467030849	0.0	0.0	0.05649079109267421	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.036678446307034616	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08818397299989231	0.0	0.0	0.0	0.2446991838364906	0.09557420214078513	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PD11341a	0.12022513964352102	0.11780331993950216	0.0	0.0	0.432611362011399	0.0	0.0	0.0	0.0	0.0	0.12500953071324583	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0650024233445619	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0541516071073246	0.0	0.0	0.0	0.0	0.042529282337695214	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04266733490275026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PD11342a	0.10280353126489206	0.20465959024544586	0.0	0.0	0.4539418158871469	0.0	0.0	0.0	0.0	0.0	0.12098103990993066	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11761402269258456	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PD11343a	0.109233217977688	0.03810402641886935	0.162454799251538	0.0	0.14541632069061497	0.0635002422861105	0.0	0.0	0.0	0.0	0.1381454962621641	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0363927872448492	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04727447462534367	0.0	0.0	0.0	0.0	0.0	0.050635590469492	0.06677613245306922	0.0	0.0	0.14206691232026106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PD11344a	0.0	0.44450885964620496	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.555491140353795	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
