Samples	SBS1	SBS2	SBS3	SBS4	SBS5	SBS6	SBS7a	SBS7b	SBS7c	SBS8	SBS9	SBS10a	SBS11	SBS12	SBS13	SBS14	SBS15	SBS16	SBS17a	SBS17b	SBS18	SBS19	SBS21	SBS22	SBS26	SBS28	SBS30	SBS33	SBS35	SBS36	SBS37	SBS38	SBS39	SBS40	SBS60	SBS55	SBS44	SBS61	SBS62	SBS63	SBS64	SBS65	SBS66	SBS67	SBS68	SBS69	SBS70	SBS71	SBS72	SBS73	SBS74	SBS75	SBS76	SBS77	SBS78	SBS79	SBS80	SBS81	SBS82	SBS83
Syn.Breast-AdenoCA::S.1	0.007530248113490603	0.0	0.0	0.0	0.09016029836307203	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017901471756322708	0.0	0.0	0.8744577363321389	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009950245434975804	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.2	0.02553643406947171	0.0	0.0	0.0	0.08596390071893034	0.0	0.0	0.0	0.0	0.09075099232621744	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7602308929376699	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02300553191283401	0.014512248034876708	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.3	0.11646076835630803	0.0	0.0	0.0	0.12816923211633272	0.0	0.0	0.0	0.0	0.16271887036811633	0.0	0.0	0.0	0.32909915091552044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10033464465635752	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16321733358736482	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.4	0.08240385081456253	0.0	0.0	0.0	0.15391005198452407	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012630013667907303	0.0	0.0	0.0	0.0	0.0	0.009462319606052403	0.06202706285137282	0.0	0.0	0.0	0.0	0.020609026644915707	0.09659722105276673	0.0	0.0	0.0	0.0	0.0	0.09882683784373683	0.02892293204199931	0.0	0.0	0.0	0.0	0.0	0.0	0.012645472148746903	0.0	0.0	0.0	0.0	0.4121692023044281	0.009796009038987204	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.5	0.17337634578562783	0.0	0.0	0.0	0.15334538382463933	0.0	0.0	0.0	0.0	0.38436491387693916	0.0	0.0	0.0	0.12407758138267432	0.0	0.0	0.0	0.0	0.0	0.0	0.012435081415573602	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13859676444690971	0.013803929267636001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.6	0.08331647762937844	0.09504488709311966	0.0	0.0	0.08028838951970674	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03546475455645212	0.01489308357704341	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008417049868097905	0.0	0.0	0.0	0.0	0.0	0.0	0.667456422490842	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015118935265359708	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.7	0.13773978149241495	0.0056565064478311024	0.0	0.0	0.12569543813817954	0.0	0.0	0.0	0.0	0.08378434692293193	0.0	0.0	0.0	0.2812050277716065	0.36591889922703597	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.8	0.05798109530337693	0.0	0.0	0.0	0.12840916911336264	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07945629973287324	0.49534280546885273	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04751936426769202	0.035286167852046614	0.0	0.0	0.0	0.0	0.0	0.06119596317631543	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05228819445515122	0.04252094063032912	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.9	0.08814724942423834	0.025154753098641812	0.0	0.0	0.14292152964687765	0.0	0.0	0.0	0.0	0.058357734359786625	0.0	0.0	0.0	0.015414573333830407	0.07655351450086663	0.0	0.0	0.0	0.0	0.0	0.06205480653137323	0.0	0.0	0.0	0.0	0.010357159647077705	0.0	0.0	0.0	0.0	0.0	0.0	0.3018590081144834	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12537918729937045	0.09380048404345374	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.10	0.08545663760948481	0.0	0.0	0.0	0.05829473764450811	0.0	0.0	0.0	0.0	0.45336012099316303	0.0	0.0	0.0	0.0	0.09692967457235883	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005841741901221401	0.0	0.0	0.30011708727926384	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.11	0.07508697197797742	0.0	0.09703350139424052	0.0	0.12530307579740385	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11299441536980344	0.16072240191090126	0.0	0.0	0.0	0.0	0.0	0.008673166665918204	0.0	0.0	0.0	0.0	0.0	0.07148450469532402	0.0	0.0	0.020260463471614906	0.0	0.0	0.2499880322420286	0.010965730580828904	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06748773589395883	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.12	0.28939662255032145	0.0	0.0	0.0	0.12078515105521927	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016473260628702212	0.0	0.0	0.0	0.0	0.0	0.0	0.05520882786649443	0.0	0.0	0.0	0.0	0.0	0.03343726747024472	0.0	0.0	0.11834627221136317	0.0	0.0	0.25196781132490115	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09995746612916676	0.0	0.0	0.0	0.0	0.014427320763587008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.13	0.16978550836773998	0.003265424071665902	0.0	0.0	0.09006497676557565	0.0	0.0	0.0	0.0	0.026788036410923213	0.0	0.0	0.0	0.19631610228739851	0.09237723811997306	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.048532079845627026	0.07944485350524304	0.0	0.0	0.010200838029186506	0.0	0.0	0.0	0.13994456740060157	0.0	0.0	0.0	0.0	0.0	0.0	0.09404986222439446	0.0	0.0	0.0	0.0	0.0	0.04923051297167113	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.14	0.09311432352307056	0.137513230462222	0.008400796769778006	0.0	0.09941610008204195	0.0	0.0	0.0	0.0	0.11509525275148078	0.0	0.0	0.0	0.13336125529615248	0.0	0.0	0.0	0.009675947582213306	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009172108480444306	0.12364311630897917	0.0	0.0	0.007809918304236504	0.0	0.0	0.17325884940110278	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08953910103827825	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.15	0.06253583965604403	0.0	0.0	0.0	0.07073744064518193	0.0	0.0	0.0	0.0	0.2635722184698151	0.0	0.0	0.0	0.09399534837054664	0.0	0.0	0.0	0.007737334259115303	0.0	0.006176422449987802	0.0	0.0	0.0	0.19335479357835628	0.0	0.0	0.043958611567714724	0.0	0.0	0.14520470883735895	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09304466138540195	0.010360919641769405	0.009321701138707804	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.16	0.14689502176412922	0.12840911743728547	0.09704082357899277	0.0	0.1629838883018217	0.0	0.0	0.0	0.0	0.036851888022443026	0.0	0.0	0.0	0.06228333238033084	0.0	0.0	0.0	0.053348930708807335	0.0	0.0	0.0	0.0	0.0	0.1708854328956918	0.0	0.0	0.0	0.0	0.0	0.021788683679019514	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.050076303639422434	0.05813810582109624	0.011298471770959707	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.17	0.02686432119444131	0.0	0.0	0.0	0.04849184550410172	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13798817914681166	0.019363196061546607	0.0	0.0	0.0	0.0	0.08565959272358414	0.09974208531956624	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10414435855258684	0.0	0.0	0.2884616150254028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1892848064719587	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.18	0.011820658632546704	0.0	0.0	0.0	0.11212917026007663	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8760501711073767	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.19	0.026878232653102407	0.14167568189727203	0.0	0.0	0.08476587198894861	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.040129289218633506	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4211400604909221	0.0	0.0	0.28541086375112124	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.20	0.12286184401186964	0.019167664651179507	0.0	0.0	0.15403300204102036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08329410888341522	0.08125120954244203	0.0	0.0	0.023531837041565307	0.0	0.0	0.5031044998938036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012755833934704404	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
