Samples	SBS1	SBS2	SBS3	SBS4	SBS5	SBS6	SBS7a	SBS7b	SBS7c	SBS8	SBS9	SBS10a	SBS11	SBS12	SBS13	SBS14	SBS15	SBS16	SBS17a	SBS17b	SBS18	SBS19	SBS21	SBS22	SBS26	SBS28	SBS30	SBS33	SBS35	SBS36	SBS37	SBS38	SBS39	SBS40	SBS60	SBS55	SBS44	SBS61	SBS62	SBS63	SBS64	SBS65	SBS66	SBS67	SBS68	SBS69	SBS70	SBS71	SBS72	SBS73	SBS74	SBS75	SBS76	SBS77	SBS78	SBS79	SBS80	SBS81	SBS82	SBS83
Syn.Breast-AdenoCA::S.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04695892694411221	0.0	0.0	0.9032898458810085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0497512271748793	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11594804032582352	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7511345656121527	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.060356153887639645	0.07256124017438399	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.3	0.11676878789683087	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19349813622998374	0.0	0.0	0.0	0.3822794195465791	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13201877799219028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17543487833441593	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.4	0.06510532580047142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06315006833953667	0.0	0.0	0.0	0.0	0.0	0.04731159803026228	0.06323248706698104	0.0	0.0	0.0	0.0	0.0	0.09518971394184286	0.0	0.0	0.0	0.0	0.0	0.0	0.14461466020999653	0.0	0.0	0.0	0.0	0.0	0.0	0.06322736074373494	0.0	0.0	0.0	0.0	0.40918874067223804	0.048980045194936296	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.5	0.16937841856996863	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37517637501685136	0.0	0.0	0.0	0.17319131004434216	0.0	0.0	0.0	0.0	0.0	0.0	0.06217540707786843	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15105884295278948	0.06901964633818003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.6	0.08169291688608353	0.08661773002747396	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0610284093480722	0.04078335613477078	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04208524934048971	0.0	0.0	0.0	0.0	0.0	0.0	0.6121976619363112	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07559467632679862	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.7	0.13791469131065015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13978941585993174	0.0	0.0	0.0	0.33789627865285843	0.38439961417655966	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5259543245725979	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26144097227575647	0.21260470315164567	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.9	0.08248939348435161	0.05003102961335304	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08134628304437252	0.0	0.0	0.0	0.0770728666691524	0.08681397479400027	0.0	0.0	0.0	0.0	0.0	0.08203194905933438	0.0	0.0	0.0	0.0	0.05178579823538851	0.0	0.0	0.0	0.0	0.0	0.0	0.29153013318692095	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08878484739685576	0.10811372451627066	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.10	0.08723849066804187	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48551362527478015	0.0	0.0	0.0	0.0	0.10089984765791342	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32634803639926463	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.11	0.07003193847756083	0.0	0.10394955423666254	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.155846243064159	0.1637866440783331	0.0	0.0	0.0	0.0	0.0	0.043365833329591416	0.0	0.0	0.0	0.0	0.0	0.0881104255894074	0.0	0.0	0.04036742587226496	0.0	0.0	0.22596418150535713	0.05482865290414467	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05374910094251874	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.12	0.2862049900285208	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08236630314351101	0.0	0.0	0.0	0.0	0.0	0.0	0.08703030820689883	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11672847850512998	0.0	0.0	0.23003393643491366	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12549937986309026	0.0	0.0	0.0	0.0	0.07213660381793535	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.13	0.1673689118120451	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2391855655217072	0.09717421190089387	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09385946267451567	0.0	0.0	0.0	0.0	0.0	0.0	0.2687131005571339	0.0	0.0	0.0	0.0	0.0	0.0	0.13369874753370428	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.14	0.09115496865616839	0.13771011144036654	0.04200398384889017	0.0	0.0	0.0	0.0	0.0	0.0	0.10663977238827207	0.0	0.0	0.0	0.11175570586985642	0.0	0.0	0.0	0.04837973791106688	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04586054240222167	0.13883924590456515	0.0	0.0	0.03904959152118259	0.0	0.0	0.15125938931245017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08734695074495998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.15	0.047550112057120154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25438977614449076	0.0	0.0	0.0	0.0522610357256548	0.0	0.0	0.0	0.03868667129557663	0.0	0.030882112249939343	0.0	0.0	0.0	0.18838775953552125	0.0	0.0	0.05574559407157911	0.0	0.0	0.14413059188516109	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0895532431325706	0.05180459820884703	0.04660850569353914	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.16	0.1302137988520466	0.106791682442016	0.07814166768551971	0.0	0.0	0.0	0.0	0.0	0.0	0.061657735339067675	0.0	0.0	0.0	0.07440871845405897	0.0	0.0	0.0	0.0800165301120406	0.0	0.0	0.0	0.0	0.0	0.17053967203955206	0.0	0.0	0.0	0.0	0.0	0.053777452990703	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.115271653774485	0.07268872945571155	0.05649235885479882	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15885098164789554	0.0	0.0	0.0	0.0	0.0	0.08634929527033952	0.11424442688112164	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10803033669697161	0.0	0.0	0.312270024579932	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2202549349237396	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.19	0.0	0.155186975532447	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4557654180055099	0.0	0.0	0.38904760646204295	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.20	0.12002075432509368	0.04943966328939839	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08076059893779809	0.07851851774823877	0.0	0.0	0.062215299110674374	0.0	0.0	0.5452659969152742	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06377916967352247	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.21	0.03200851782056849	0.05127750241950229	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12912923878015983	0.0	0.0	0.0	0.04378328104287929	0.06626578892554152	0.0	0.0	0.0	0.0	0.033760939755654557	0.053034185792082515	0.0	0.0	0.0431136149727976	0.0	0.0	0.051085214104800415	0.0	0.0	0.0	0.0	0.0	0.4226436347184696	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07389808166754393	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.22	0.11416509875766717	0.04546164892420604	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15138241574666322	0.0	0.0	0.0	0.0	0.05600618056304433	0.0	0.0	0.05767989554160033	0.0	0.059823544087914446	0.0	0.0	0.0	0.09884124269877105	0.0	0.0	0.10760508572922164	0.0	0.0	0.13824903779517178	0.0	0.0	0.11121308466514579	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.059572765490594363	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07996625824814037	0.1645214850268872	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0703622750538467	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5901466663730563	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09500331529806931	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.24	0.08083383203832199	0.04136861545874885	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14961594384195578	0.0	0.0	0.0	0.04347710457430466	0.24734198092079018	0.0	0.0	0.05628166064701265	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11422452935222716	0.05669265391019435	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04477237849916664	0.0	0.0	0.0	0.0	0.0	0.16539130075727754	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.25	0.2060557901836237	0.0	0.12467132004280965	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15851988635121397	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21287312489689506	0.0	0.0	0.0	0.0	0.1095947762976922	0.18828510222776543	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.26	0.09905395429268143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20223481235298263	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17380609409539224	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13654073200518216	0.0	0.0	0.0	0.0	0.0	0.0	0.10844770379750783	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15826655228035016	0.12165015117590368	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.27	0.0	0.0	0.21055369109805858	0.0	0.0	0.0	0.0	0.0	0.0	0.15279600249044978	0.0	0.0	0.0	0.11938900729752079	0.07706708212192738	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2099788317251618	0.0	0.0	0.14545683900509726	0.08475854626178445	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.28	0.07511644671430201	0.07322064305059432	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17110621281038563	0.0	0.059040022221524956	0.06400490356704279	0.0	0.0	0.09090973245079317	0.0	0.07084449172537234	0.11390692819173566	0.0	0.0	0.0	0.0	0.0	0.14547293302207745	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13637768624617166	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.29	0.03885659213064932	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15660538527125628	0.0	0.0	0.0	0.05968255205404757	0.0	0.0	0.0	0.0	0.0	0.03406994646158593	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48959550086515724	0.07085640422803528	0.0	0.0	0.0	0.0	0.0	0.0	0.06477632987167388	0.0	0.0	0.0	0.0	0.0	0.08555728911759451	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.30	0.17897011627418005	0.04594722740843089	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14809066233201873	0.0	0.0	0.0	0.07771905942581359	0.0	0.0	0.0	0.0	0.0	0.0	0.06683354978369911	0.0	0.0	0.0	0.0	0.0	0.07577880576700204	0.0	0.0	0.0	0.0	0.0	0.08949801795144165	0.09176130559780747	0.0	0.0	0.0	0.0	0.0	0.0	0.05687479410134541	0.0	0.0	0.0	0.0	0.059506034902052696	0.10902042645620824	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.31	0.35498450960492384	0.0546607412346149	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1291222053211285	0.0	0.0	0.0	0.11792444310101498	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20301502349966888	0.0	0.0	0.14029307723864895	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.32	0.06501262754974706	0.05396298594635061	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06350592841612719	0.0	0.0	0.0	0.06163846088887859	0.1472503118261399	0.0	0.0	0.0	0.0	0.067355360959875	0.0	0.0	0.0	0.0	0.0	0.0	0.06018889258318019	0.0	0.0	0.27400280531175253	0.0	0.0	0.151048054120685	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05603457239726384	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.33	0.17307893972881974	0.0	0.13256976775980392	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34706036475786783	0.09365160668427816	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.060118005240917156	0.0	0.0	0.0	0.083214729945832	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1103065858824812	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05627810477760043	0.0	0.0	0.0	0.0	0.0	0.06643511150143908	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7189625529758243	0.07150191359394939	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08682231715118657	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6533167358215076	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34668326417849227	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.36	0.12985652694686797	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2824174600141291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11874600932955451	0.0	0.0	0.1590108105764527	0.0	0.0	0.20656760139138003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10340159174161578	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.37	0.06337686750087818	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4038421419026815	0.0	0.0	0.0	0.10011863709786148	0.315008157252885	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11765419624569394	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
