Samples	SBS1	SBS2	SBS3	SBS4	SBS5	SBS6	SBS7a	SBS7b	SBS7c	SBS8	SBS9	SBS10a	SBS11	SBS12	SBS13	SBS14	SBS15	SBS16	SBS17a	SBS17b	SBS18	SBS19	SBS21	SBS22	SBS26	SBS28	SBS30	SBS33	SBS35	SBS36	SBS37	SBS38	SBS39	SBS40	SBS60	SBS55	SBS44	SBS61	SBS62	SBS63	SBS64	SBS65	SBS66	SBS67	SBS68	SBS69	SBS70	SBS71	SBS72	SBS73	SBS74	SBS75	SBS76	SBS77	SBS78	SBS79	SBS80	SBS81	SBS82	SBS83
Syn.Breast-AdenoCA::S.1	0.00754213475514119	0.0	0.0	0.0	0.09073612902431763	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017914426328396554	0.0	0.0	0.8742156159757573	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009591693916387286	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.2	0.025870604473412637	0.0	0.0	0.0	0.08458591074471279	0.0	0.0	0.0	0.0	0.09070936609303644	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7605488357325313	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.022920874247583285	0.015364408708723477	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.3	0.11645921542682196	0.0	0.0	0.0	0.13033912597400907	0.0	0.0	0.0	0.0	0.1626105283169188	0.0	0.0	0.0	0.3283364651782783	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09900355686605374	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1632511082379182	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.4	0.08255077000206643	0.0	0.0	0.0	0.1531483590072901	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01237709680087032	0.0	0.0	0.0	0.0	0.0	0.009556698351387763	0.06200036478006198	0.0	0.0	0.0	0.0	0.019330772531225723	0.09653330487078811	0.0	0.0	0.0	0.0	0.0	0.09899350951105948	0.029616324855225848	0.0	0.0	0.0	0.0	0.0	0.0	0.012366955427201851	0.0	0.0	0.0	0.0	0.41310315684718335	0.010422687015638839	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.5	0.17373650440448118	0.0	0.0	0.0	0.1537477412410895	0.0	0.0	0.0	0.0	0.38509800235434055	0.0	0.0	0.0	0.12381076509332399	0.0	0.0	0.0	0.0	0.0	0.0	0.012061819336932999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13890252819939805	0.012642639370433658	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.6	0.08344264179845207	0.09521487819197212	0.0	0.0	0.07939550425391646	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03501633907572826	0.015176756162085192	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008764801298327744	0.0	0.0	0.0	0.0	0.0	0.0	0.6679418537930771	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015047225426440948	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.7	0.13777985923953887	0.005479462474955353	0.0	0.0	0.1271385256947654	0.0	0.0	0.0	0.0	0.08267249089178276	0.0	0.0	0.0	0.28103886834950953	0.36589079334944796	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.8	0.058353550761563074	0.0	0.0	0.0	0.1298718516675061	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08029276921608038	0.4964336521907026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.049008540915654236	0.03564686269218731	0.0	0.0	0.0	0.0	0.0	0.06034093631354589	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05046440720708504	0.03958742903567543	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.9	0.08788868663100656	0.025098691166258538	0.0	0.0	0.14428515263457475	0.0	0.0	0.0	0.0	0.058306262871856286	0.0	0.0	0.0	0.014379521166473976	0.07671959115701486	0.0	0.0	0.0	0.0	0.0	0.06220624054707534	0.0	0.0	0.0	0.0	0.010466842593673777	0.0	0.0	0.0	0.0	0.0	0.0	0.3007724455179262	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12666549761188367	0.09321106810225598	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.10	0.08541538110780401	0.0	0.0	0.0	0.05855774052329032	0.0	0.0	0.0	0.0	0.45318477097574006	0.0	0.0	0.0	0.0	0.09685721326532627	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005814737361267714	0.0	0.0	0.3001701567665716	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.11	0.07511119520629297	0.0	0.09682329299037959	0.0	0.12563092178198274	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11261692097038559	0.16076742600219543	0.0	0.0	0.0	0.0	0.0	0.008883253861735026	0.0	0.0	0.0	0.0	0.0	0.0713251204375607	0.0	0.0	0.020581492267044216	0.0	0.0	0.25022295157522384	0.010529390419153116	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06750803448804675	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.12	0.2904830553672057	0.0	0.0	0.0	0.11983483457678178	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016478364233327335	0.0	0.0	0.0	0.0	0.0	0.0	0.0555263577695215	0.0	0.0	0.0	0.0	0.0	0.03442789286408518	0.0	0.0	0.11826901546202587	0.0	0.0	0.25229429971060635	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0986592894380357	0.0	0.0	0.0	0.0	0.014026890578410786	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.13	0.1696740451974395	0.003237206314457251	0.0	0.0	0.08925168628057083	0.0	0.0	0.0	0.0	0.027038423815630395	0.0	0.0	0.0	0.19452749587410448	0.09234422977117716	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.047843011988279206	0.07930350935501783	0.0	0.0	0.010173854208405312	0.0	0.0	0.0	0.14336620441958683	0.0	0.0	0.0	0.0	0.0	0.0	0.09382605071301903	0.0	0.0	0.0	0.0	0.0	0.049414282062312014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
