Samples	SBS1	SBS2	SBS3	SBS4	SBS5	SBS6	SBS7a	SBS7b	SBS7c	SBS8	SBS9	SBS10a	SBS11	SBS12	SBS13	SBS14	SBS15	SBS16	SBS17a	SBS17b	SBS18	SBS19	SBS21	SBS22	SBS26	SBS28	SBS30	SBS33	SBS35	SBS36	SBS37	SBS38	SBS39	SBS40	SBS60	SBS55	SBS44	SBS61	SBS62	SBS63	SBS64	SBS65	SBS66	SBS67	SBS68	SBS69	SBS70	SBS71	SBS72	SBS73	SBS74	SBS75	SBS76	SBS77	SBS78	SBS79	SBS80	SBS81	SBS82	SBS83
Syn.Breast-AdenoCA::S.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04695892694411221	0.0	0.0	0.9032898458810085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0497512271748793	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11594804032582352	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7511345656121527	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.060356153887639645	0.07256124017438399	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.3	0.11676878789683087	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19349813622998374	0.0	0.0	0.0	0.3822794195465791	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13201877799219028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17543487833441593	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.4	0.06510532580047142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06315006833953667	0.0	0.0	0.0	0.0	0.0	0.04731159803026228	0.06323248706698104	0.0	0.0	0.0	0.0	0.0	0.09518971394184286	0.0	0.0	0.0	0.0	0.0	0.0	0.14461466020999653	0.0	0.0	0.0	0.0	0.0	0.0	0.06322736074373494	0.0	0.0	0.0	0.0	0.40918874067223804	0.048980045194936296	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.5	0.16937841856996863	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37517637501685136	0.0	0.0	0.0	0.17319131004434216	0.0	0.0	0.0	0.0	0.0	0.0	0.06217540707786843	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15105884295278948	0.06901964633818003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.6	0.08169291688608352	0.08661773002747394	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06102840934807219	0.040783356134770854	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.042085249340489704	0.0	0.0	0.0	0.0	0.0	0.0	0.6121976619363111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0755946763267986	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.7	0.13791469131065015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13978941585993174	0.0	0.0	0.0	0.33789627865285843	0.38439961417655966	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5259543245725979	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26144097227575647	0.21260470315164567	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.9	0.0824893934843513	0.050031029613353054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08134628304437255	0.0	0.0	0.0	0.07707286666915243	0.0868139747940003	0.0	0.0	0.0	0.0	0.0	0.0820319490593344	0.0	0.0	0.0	0.0	0.05178579823538852	0.0	0.0	0.0	0.0	0.0	0.0	0.291530133186921	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08878484739685578	0.10811372451627069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.10	0.08723849066804187	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48551362527478015	0.0	0.0	0.0	0.0	0.10089984765791342	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32634803639926463	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.11	0.07003193847756084	0.0	0.10394955423666256	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1558462430641589	0.16378664407833315	0.0	0.0	0.0	0.0	0.0	0.04336583332959143	0.0	0.0	0.0	0.0	0.0	0.08811042558940743	0.0	0.0	0.04036742587226497	0.0	0.0	0.22596418150535721	0.05482865290414469	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05374910094251875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.12	0.2862049900285208	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08236630314351101	0.0	0.0	0.0	0.0	0.0	0.0	0.08703030820689883	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11672847850512998	0.0	0.0	0.23003393643491366	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12549937986309026	0.0	0.0	0.0	0.0	0.07213660381793535	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.13	0.16736891181204486	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23918556552170836	0.09717421190089372	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09385946267451553	0.0	0.0	0.0	0.0	0.0	0.0	0.2687131005571335	0.0	0.0	0.0	0.0	0.0	0.0	0.13369874753370406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.14	0.09115496865616839	0.13771011144036654	0.04200398384889017	0.0	0.0	0.0	0.0	0.0	0.0	0.10663977238827207	0.0	0.0	0.0	0.11175570586985642	0.0	0.0	0.0	0.04837973791106688	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04586054240222167	0.13883924590456515	0.0	0.0	0.03904959152118259	0.0	0.0	0.15125938931245017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08734695074495998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.15	0.047550112057120154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25438977614449076	0.0	0.0	0.0	0.0522610357256548	0.0	0.0	0.0	0.03868667129557663	0.0	0.030882112249939343	0.0	0.0	0.0	0.18838775953552125	0.0	0.0	0.05574559407157911	0.0	0.0	0.14413059188516109	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0895532431325706	0.05180459820884703	0.04660850569353914	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.16	0.1302137988520466	0.106791682442016	0.07814166768551971	0.0	0.0	0.0	0.0	0.0	0.0	0.061657735339067675	0.0	0.0	0.0	0.07440871845405897	0.0	0.0	0.0	0.0800165301120406	0.0	0.0	0.0	0.0	0.0	0.17053967203955206	0.0	0.0	0.0	0.0	0.0	0.053777452990703	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.115271653774485	0.07268872945571155	0.05649235885479882	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15885098164789546	0.0	0.0	0.0	0.0	0.0	0.08634929527033956	0.11424442688112153	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10803033669697165	0.0	0.0	0.3122700245799322	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22025493492373968	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.19	0.0	0.155186975532447	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4557654180055099	0.0	0.0	0.38904760646204295	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.20	0.1200207543250937	0.0494396632893984	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08076059893779809	0.07851851774823879	0.0	0.0	0.06221529911067422	0.0	0.0	0.5452659969152743	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06377916967352248	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.21	0.032008517820568405	0.0512775024195023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12912923878015983	0.0	0.0	0.0	0.04378328104287921	0.06626578892554154	0.0	0.0	0.0	0.0	0.03376093975565456	0.05303418579208252	0.0	0.0	0.04311361497279761	0.0	0.0	0.05108521410480042	0.0	0.0	0.0	0.0	0.0	0.4226436347184697	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07389808166754393	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.22	0.11416509875766717	0.04546164892420604	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15138241574666322	0.0	0.0	0.0	0.0	0.05600618056304433	0.0	0.0	0.05767989554160033	0.0	0.059823544087914446	0.0	0.0	0.0	0.09884124269877105	0.0	0.0	0.10760508572922164	0.0	0.0	0.13824903779517178	0.0	0.0	0.11121308466514579	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.059572765490594363	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07996625824814037	0.1645214850268872	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0703622750538467	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5901466663730563	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09500331529806931	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.24	0.08083383203832199	0.04136861545874885	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14961594384195553	0.0	0.0	0.0	0.04347710457430493	0.24734198092079018	0.0	0.0	0.05628166064701265	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11422452935222716	0.05669265391019435	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04477237849916664	0.0	0.0	0.0	0.0	0.0	0.16539130075727754	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.25	0.20605579018362374	0.0	0.12467132004280969	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15851988635121403	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2128731248968948	0.0	0.0	0.0	0.0	0.10959477629769222	0.18828510222776546	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.26	0.09905395429268143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20223481235298263	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17380609409539224	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13654073200518216	0.0	0.0	0.0	0.0	0.0	0.0	0.10844770379750783	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15826655228035016	0.12165015117590368	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.27	0.0	0.0	0.21055369109805858	0.0	0.0	0.0	0.0	0.0	0.0	0.15279600249044978	0.0	0.0	0.0	0.11938900729752079	0.07706708212192738	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2099788317251618	0.0	0.0	0.14545683900509726	0.08475854626178445	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.28	0.07511644671430202	0.07322064305059435	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1711062128103854	0.0	0.05904002222152497	0.0640049035670428	0.0	0.0	0.09090973245079319	0.0	0.07084449172537235	0.11390692819173569	0.0	0.0	0.0	0.0	0.0	0.14547293302207748	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13637768624617172	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.29	0.038856592130649306	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15660538527125623	0.0	0.0	0.0	0.05968255205404756	0.0	0.0	0.0	0.0	0.0	0.034069946461585926	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4895955008651571	0.07085640422803544	0.0	0.0	0.0	0.0	0.0	0.0	0.06477632987167385	0.0	0.0	0.0	0.0	0.0	0.08555728911759464	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.30	0.1789701162741801	0.0459472274084309	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14809066233201876	0.0	0.0	0.0	0.0777190594258136	0.0	0.0	0.0	0.0	0.0	0.0	0.06683354978369913	0.0	0.0	0.0	0.0	0.0	0.07577880576700206	0.0	0.0	0.0	0.0	0.0	0.0894980179514414	0.0917613055978075	0.0	0.0	0.0	0.0	0.0	0.0	0.056874794101345424	0.0	0.0	0.0	0.0	0.05950603490205271	0.10902042645620827	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.31	0.35498450960492384	0.0546607412346149	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1291222053211285	0.0	0.0	0.0	0.11792444310101498	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20301502349966888	0.0	0.0	0.14029307723864895	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.32	0.06501262754974707	0.053962985946350614	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0635059284161272	0.0	0.0	0.0	0.0616384608888786	0.14725031182613976	0.0	0.0	0.0	0.0	0.06735536095987502	0.0	0.0	0.0	0.0	0.0	0.0	0.0601888925831802	0.0	0.0	0.2740028053117526	0.0	0.0	0.151048054120685	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.056034572397263845	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.33	0.17307893972881974	0.0	0.13256976775980392	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34706036475786783	0.09365160668427816	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.060118005240917156	0.0	0.0	0.0	0.083214729945832	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1103065858824812	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05627810477760043	0.0	0.0	0.0	0.0	0.0	0.06643511150143908	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7189625529758243	0.07150191359394939	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08682231715118657	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6533167358215076	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34668326417849227	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.36	0.12985652694686797	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2824174600141291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11874600932955451	0.0	0.0	0.1590108105764527	0.0	0.0	0.20656760139138003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10340159174161578	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Breast-AdenoCA::S.37	0.06337686750087818	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4038421419026815	0.0	0.0	0.0	0.10011863709786148	0.315008157252885	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11765419624569394	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
