Samples	SBS1	SBS2	SBS3	SBS4	SBS5	SBS6	SBS7a	SBS7b	SBS7c	SBS8	SBS9	SBS10a	SBS11	SBS12	SBS13	SBS14	SBS15	SBS16	SBS17a	SBS17b	SBS18	SBS19	SBS21	SBS22	SBS26	SBS28	SBS30	SBS33	SBS35	SBS36	SBS37	SBS38	SBS39	SBS40	SBS60	SBS55	SBS44	SBS61	SBS62	SBS63	SBS64	SBS65	SBS66	SBS67	SBS68	SBS69	SBS70	SBS71	SBS72	SBS73	SBS74	SBS75	SBS76	SBS77	SBS78	SBS79	SBS80	SBS81	SBS82	SBS83
Syn.Biliary-AdenoCA::S.1	0.04329808371906508	0.07455506450698403	0.0	0.0	0.3221651705471629	0.0	0.0	0.0	0.0	0.024485282345355592	0.0	0.0	0.0	0.2620772032221998	0.007380035890174405	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1144594002582109	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15157975951084723	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.2	0.12168387295962999	0.23948549635023658	0.0	0.0	0.136867822027293	0.0	0.0	0.0	0.0	0.12234151130078375	0.0	0.0	0.0	0.24373527991612698	0.004290646502171556	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06363534878238851	0.0	0.0	0.06796002216136966	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.3	0.17957231977786983	0.057341438481235955	0.0	0.0	0.28841196860919	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.058666312717751905	0.0	0.0	0.0	0.0	0.0	0.017286994664263	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1690430163709054	0.0	0.0	0.2296779493787839	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.4	0.17484204212970253	0.02096052490713576	0.0	0.0	0.13366183915853386	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15845085148056504	0.004406860162915337	0.0	0.0	0.0	0.0	0.1796544457304649	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06456996021998464	0.0	0.0	0.17120373371611786	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09224974249457994	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.5	0.16057738884822756	0.0	0.0	0.0	0.11991483757812818	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3186561696189803	0.0	0.0	0.0	0.0	0.0	0.018041416509256645	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05849647334479845	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16477922550638097	0.0	0.0	0.0	0.0	0.1595344885942279	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.6	0.11175537860791587	0.017433724521193763	0.0	0.0	0.060729432465129955	0.0	0.0	0.0	0.0	0.27180656995761804	0.0	0.0	0.0	0.30937914561774177	0.0	0.0	0.0	0.0	0.0	0.014497152610580379	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07358603668417395	0.0	0.0	0.027457015876643266	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.113355543659003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.7	0.09595264262999377	0.3117527032557497	0.0	0.0	0.04661463110718326	0.0	0.0	0.0	0.0	0.049498637778237	0.0	0.0	0.0	0.03392272275601482	0.0	0.0	0.0	0.0	0.0	0.009314111965728894	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19173391432600786	0.02641074642139585	0.0	0.0	0.23479988975968888	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.8	0.02548739478132313	0.1696001712137447	0.0	0.0	0.07803491132815213	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16838448724217248	0.0	0.0	0.0	0.0	0.0	0.12827463036531797	0.1886765375581863	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24154186751110324	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.9	0.02600584393690061	0.018854976290617387	0.0	0.0	0.4076193966616018	0.0	0.0	0.0	0.0	0.11618244770665105	0.0	0.0	0.0	0.22731320418355166	0.0037751527533011644	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010001373116793789	0.011208918963879733	0.0	0.0	0.0	0.0	0.0	0.0	0.1790386863867029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.10	0.03233996059320719	0.0	0.0	0.0	0.104822426946599	0.0	0.0	0.0	0.0	0.3133637560956791	0.0	0.0	0.0	0.16474580944872436	0.0	0.15170959342525084	0.0	0.0	0.0	0.01279180058039053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05633911200288391	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16388754090726498	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
