Samples	SBS1	SBS2	SBS3	SBS4	SBS5	SBS6	SBS7a	SBS7b	SBS7c	SBS8	SBS9	SBS10a	SBS12	SBS13	SBS14	SBS15	SBS16	SBS17a	SBS17b	SBS18	SBS19	SBS21	SBS22	SBS26	SBS28	SBS30	SBS35	SBS36	SBS37	SBS39	SBS40	SBS55	SBS44	SBS61	SBS62	SBS63	SBS64	SBS65	SBS66	SBS67	SBS68	SBS69	SBS70	SBS71	SBS72	SBS73	SBS74	SBS75	SBS76	SBS77	SBS78	SBS79	SBS80	SBS81	SBS11	SBS33	SBS38	SBS60	SBS82	SBS83
Syn.Biliary-AdenoCA::S.1	0.0428598345945347	0.07696347498451925	0.0	0.0	0.30300072153292834	0.0	0.0	0.0	0.0	0.03838069421051022	0.0	0.0	0.25591255808161567	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14143736157812	0.0	0.0	0.0	0.0	0.0	0.0	0.1414453550177718	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.2	0.12089401695589688	0.23960865062434475	0.0	0.0	0.13400129934540436	0.0	0.0	0.0	0.0	0.11575636606115451	0.0	0.0	0.23886541477982107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06398025534470934	0.0	0.08689399688866915	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.3	0.18344900135835582	0.059091240080507285	0.0	0.0	0.28111263595718383	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07243755258036447	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17370916381243942	0.0	0.23020040621114934	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.4	0.1785334896820429	0.0	0.0	0.0	0.14937323737104932	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16266884750791133	0.0	0.0	0.0	0.0	0.0	0.18267633035286265	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06386102268813774	0.0	0.12641613065402732	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1364709417439688	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.5	0.1672780812688099	0.0	0.0	0.0	0.11543762655766492	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32872580318367683	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06163334460586613	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16320165221372504	0.0	0.0	0.0	0.0	0.16372349217025725	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.6	0.11476873387547573	0.0	0.0	0.0	0.0679180721108995	0.0	0.0	0.0	0.0	0.2814662970349392	0.0	0.0	0.3170298107537444	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07436545893496667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14445162728997443	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.7	0.09703248890322509	0.3165083013990577	0.0	0.0	0.04005248566466904	0.0	0.0	0.0	0.0	0.0844484535897587	0.0	0.0	0.055327252771681365	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18230610185860557	0.0	0.0	0.22432491581300257	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.8	0.03125771754341515	0.16997867051545143	0.0	0.0	0.09610714023937317	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1573339045943693	0.0	0.0	0.0	0.0	0.0	0.12763832240720652	0.18422160634615278	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23346263835403164	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.9	0.032831529427186715	0.0	0.0	0.0	0.4639223904314765	0.0	0.0	0.0	0.0	0.1077928289776719	0.0	0.0	0.2108471395883293	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18460611157533569	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.10	0.03332753078512087	0.0	0.0	0.0	0.10197934349426636	0.0	0.0	0.0	0.0	0.3136410806763699	0.0	0.0	0.16582424956355818	0.0	0.1506593080574383	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07143974861400552	0.0	0.0	0.0	0.0	0.0	0.0	0.16312873880924073	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
