Samples	SBS1	SBS2	SBS3	SBS4	SBS5	SBS6	SBS7a	SBS7b	SBS7c	SBS8	SBS9	SBS10a	SBS12	SBS13	SBS14	SBS15	SBS16	SBS17a	SBS17b	SBS18	SBS19	SBS21	SBS22	SBS26	SBS28	SBS30	SBS35	SBS36	SBS37	SBS39	SBS40	SBS55	SBS44	SBS61	SBS62	SBS63	SBS64	SBS65	SBS66	SBS67	SBS68	SBS69	SBS70	SBS71	SBS72	SBS73	SBS74	SBS75	SBS76	SBS77	SBS78	SBS79	SBS80	SBS81	SBS11	SBS33	SBS38	SBS60	SBS82	SBS83
Syn.Biliary-AdenoCA::S.1	0.042068866144258456	0.07879964463173371	0.0	0.0	0.290024987719392	0.0	0.0	0.0	0.0	0.04512329455414336	0.0	0.0	0.26958464476214705	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13274197784039615	0.0	0.0	0.0	0.0	0.0	0.0	0.14165658434792927	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.2	0.1212419095580377	0.24256397602896018	0.0	0.0	0.13036090310465587	0.0	0.0	0.0	0.0	0.11818812312367366	0.0	0.0	0.24475162324300298	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06398419238978996	0.0	0.07890927255187968	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.3	0.17640017331622	0.05763722039022264	0.0	0.0	0.25183627723935004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08874080667433247	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17132002744616762	0.0	0.2540654949337073	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.4	0.17475777070829734	0.0	0.0	0.0	0.11855797163021607	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1649483535223909	0.0	0.0	0.0	0.0	0.0	0.18032762370031244	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06578576440234243	0.0	0.16575043535688347	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12987208067955738	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.5	0.14806377413326377	0.0	0.0	0.0	0.11253158344056248	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3314666945136414	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05228657782814222	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19601137201911448	0.0	0.0	0.0	0.0	0.15963999806527568	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.6	0.11115817245099409	0.0	0.0	0.0	0.04582878653036211	0.0	0.0	0.0	0.0	0.25690107211736807	0.0	0.0	0.32320735514610843	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07258493550914878	0.0	0.05855196188529398	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13176771636072462	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.7	0.0912008694781989	0.3073286763614292	0.0	0.0	0.031658160994183296	0.0	0.0	0.0	0.0	0.07502144297737201	0.0	0.0	0.05625515480134692	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19616588010089886	0.0	0.0	0.2423698152865708	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.8	0.032486465431037684	0.16623705269267022	0.0	0.0	0.0852522488603734	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17291279577340035	0.0	0.0	0.0	0.0	0.0	0.13095067558664691	0.1890995769858798	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22306118466999172	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.9	0.030519859935121834	0.0	0.0	0.0	0.43800974159877765	0.0	0.0	0.0	0.0	0.11374360631290581	0.0	0.0	0.23301246397050696	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1847143281826878	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.10	0.02680890297074696	0.0	0.0	0.0	0.08486369081664859	0.0	0.0	0.0	0.0	0.3034742233938018	0.0	0.0	0.17328763203965614	0.0	0.16366539175288417	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07033747045190117	0.0	0.0	0.0	0.0	0.0	0.0	0.17756268857436128	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.11	0.08655700283587645	0.0	0.0	0.0	0.12492752102791688	0.0	0.0	0.0	0.0	0.10719160354770473	0.0	0.0	0.09815102246917377	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15660871461481826	0.0	0.0	0.0	0.0	0.0	0.4265641355045099	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.12	0.056955177973944025	0.0	0.0	0.0	0.19097908190967977	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04934583729445163	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09627971255185779	0.0	0.0	0.0	0.0	0.0	0.06929108116819832	0.1246889655492441	0.0	0.29901434611916783	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11344579743345647	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.13	0.025268491746459936	0.0	0.0	0.0	0.5276211794222562	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26045915585493057	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05610172762151705	0.0	0.13054944535483634	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.14	0.11960782981847314	0.0	0.0	0.0	0.27606490756604957	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39856819735046395	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20575906526501336	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.15	0.0718616034991622	0.0	0.0	0.0	0.2438831962702529	0.0	0.0	0.0	0.0	0.03999496596637203	0.0	0.0	0.5231933285476373	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1210669057165757	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.16	0.0526824375534124	0.12290530027103383	0.0	0.0	0.3324636777229293	0.0	0.0	0.0	0.0	0.13498984559504407	0.0	0.0	0.06906373060811265	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2878950082494678	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.17	0.037747562522624685	0.1518067092101276	0.0	0.0	0.06154476003564289	0.06660086113538549	0.0	0.0	0.0	0.09547179100681029	0.0	0.0	0.12688306127741283	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20038525013612868	0.0	0.10356035163647405	0.0	0.0	0.0	0.0	0.0	0.0	0.15599965303939348	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.18	0.07142650775601836	0.0	0.0	0.0	0.07634722761741362	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05059272895602903	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15593610688879003	0.0	0.0	0.0	0.0	0.0	0.0	0.6456974287817489	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
