Samples	SBS1	SBS2	SBS3	SBS4	SBS5	SBS6	SBS7a	SBS7b	SBS7c	SBS8	SBS9	SBS10a	SBS11	SBS12	SBS13	SBS14	SBS15	SBS16	SBS17a	SBS17b	SBS18	SBS19	SBS21	SBS22	SBS26	SBS28	SBS30	SBS33	SBS35	SBS36	SBS37	SBS38	SBS39	SBS40	SBS60	SBS55	SBS44	SBS61	SBS62	SBS63	SBS64	SBS65	SBS66	SBS67	SBS68	SBS69	SBS70	SBS71	SBS72	SBS73	SBS74	SBS75	SBS76	SBS77	SBS78	SBS79	SBS80	SBS81	SBS82	SBS83
Syn.Biliary-AdenoCA::S.1	0.04340776703202551	0.0746792582050349	0.0	0.0	0.32253103209965905	0.0	0.0	0.0	0.0	0.023360421991890246	0.0	0.0	0.0	0.2626017661234971	0.007321254317600303	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11409206974880699	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1520064304814859	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.2	0.12147334036313855	0.2391584068593581	0.0	0.0	0.13695500478454714	0.0	0.0	0.0	0.0	0.12282077608482667	0.0	0.0	0.0	0.2434391349148245	0.00419830592453597	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06353481714674374	0.0	0.0	0.06842021392202549	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.3	0.17944566587519378	0.057283983349765755	0.0	0.0	0.28904901015976187	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0591247244703581	0.0	0.0	0.0	0.0	0.0	0.016482896806039524	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1689354515622047	0.0	0.0	0.22967826777667633	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.4	0.17537024474928448	0.020448478854310972	0.0	0.0	0.13389092409942713	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15875058934210526	0.00426764705462596	0.0	0.0	0.0	0.0	0.18014388686855545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06473769013400268	0.0	0.0	0.17102275532033479	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09136778357735324	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.5	0.1607906665905996	0.0	0.0	0.0	0.11952476594625061	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3189811697254661	0.0	0.0	0.0	0.0	0.0	0.017829869592162106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.058511120964980554	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1647882811995878	0.0	0.0	0.0	0.0	0.15957412598095333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.6	0.11159176359496646	0.018118433962379596	0.0	0.0	0.06057735009444549	0.0	0.0	0.0	0.0	0.27162348049913504	0.0	0.0	0.0	0.3089067812943404	0.0	0.0	0.0	0.0	0.0	0.01422660685781573	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07350472808049618	0.0	0.0	0.02786916405911351	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1135816915573077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.7	0.09584965567184313	0.3115177239028516	0.0	0.0	0.04719368414104012	0.0	0.0	0.0	0.0	0.04871307363057225	0.0	0.0	0.0	0.03402561665363031	0.0	0.0	0.0	0.0	0.0	0.009234377560643972	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19165592974211607	0.027314179330906397	0.0	0.0	0.23449575936639633	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.8	0.025357796128080187	0.1692484460232528	0.0	0.0	0.07895874607217952	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1689456378161138	0.0	0.0	0.0	0.0	0.0	0.1279669570091732	0.1884201517242526	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2411022652269479	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.9	0.026406083902821387	0.019374602545093687	0.0	0.0	0.4075051035383465	0.0	0.0	0.0	0.0	0.1160124074865968	0.0	0.0	0.0	0.22737334381947097	0.003653466392984021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009971422238776369	0.010434816511258336	0.0	0.0	0.0	0.0	0.0	0.0	0.17926875356465197	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.10	0.032371632698962344	0.0	0.0	0.0	0.10504897983950498	0.0	0.0	0.0	0.0	0.31344623959733636	0.0	0.0	0.0	0.1645912183081018	0.0	0.15153829755853354	0.0	0.0	0.0	0.012895485896535299	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05632737490164784	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16378077119937784	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
