Samples	SBS1	SBS2	SBS3	SBS4	SBS5	SBS6	SBS7a	SBS7b	SBS7c	SBS8	SBS9	SBS10a	SBS12	SBS13	SBS14	SBS15	SBS16	SBS17a	SBS17b	SBS18	SBS19	SBS21	SBS22	SBS26	SBS28	SBS30	SBS35	SBS36	SBS37	SBS39	SBS40	SBS55	SBS44	SBS61	SBS62	SBS63	SBS64	SBS65	SBS66	SBS67	SBS68	SBS69	SBS70	SBS71	SBS72	SBS73	SBS74	SBS75	SBS76	SBS77	SBS78	SBS79	SBS80	SBS81	SBS11	SBS33	SBS38	SBS60	SBS82	SBS83
Syn.Biliary-AdenoCA::S.1	0.042859834594534706	0.07696347498451926	0.0	0.0	0.3030007215329284	0.0	0.0	0.0	0.0	0.03838069421050982	0.0	0.0	0.2559125580816157	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14143736157812023	0.0	0.0	0.0	0.0	0.0	0.0	0.14144535501777183	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.2	0.12089401695589685	0.2396086506243447	0.0	0.0	0.13400129934540433	0.0	0.0	0.0	0.0	0.1157563660611545	0.0	0.0	0.238865414779821	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06398025534470933	0.0	0.08689399688866936	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.3	0.18344900135835576	0.059091240080507264	0.0	0.0	0.2811126359571838	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07243755258036459	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17370916381243937	0.0	0.2302004062111493	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.4	0.17853348968204297	0.0	0.0	0.0	0.14937323737104935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16266884750791138	0.0	0.0	0.0	0.0	0.0	0.18267633035286268	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06386102268813776	0.0	0.12641613065402693	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13647094174396898	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.5	0.16727808126880972	0.0	0.0	0.0	0.11543762655766589	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3287258031836765	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0616333446058658	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1632016522137249	0.0	0.0	0.0	0.0	0.1637234921702571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.6	0.11476873387547575	0.0	0.0	0.0	0.06791807211089784	0.0	0.0	0.0	0.0	0.2814662970349392	0.0	0.0	0.3170298107537458	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0743654589349668	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14445162728997443	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.7	0.09703248890322509	0.3165083013990577	0.0	0.0	0.04005248566466861	0.0	0.0	0.0	0.0	0.08444845358975898	0.0	0.0	0.055327252771681504	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18230610185860557	0.0	0.0	0.22432491581300257	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.8	0.031257717543415296	0.16997867051545135	0.0	0.0	0.09610714023937345	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15733390459436924	0.0	0.0	0.0	0.0	0.0	0.12763832240720646	0.1842216063461527	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23346263835403153	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.9	0.03283152942718672	0.0	0.0	0.0	0.4639223904314766	0.0	0.0	0.0	0.0	0.10779282897767191	0.0	0.0	0.21084713958832932	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18460611157533552	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.10	0.033327530785120865	0.0	0.0	0.0	0.10197934349426634	0.0	0.0	0.0	0.0	0.3136410806763698	0.0	0.0	0.16582424956355812	0.0	0.15065930805743827	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07143974861400576	0.0	0.0	0.0	0.0	0.0	0.0	0.1631287388092407	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.11	0.09534913009835538	0.0	0.0	0.0	0.16065782348386817	0.0	0.0	0.0	0.0	0.09195686611874743	0.0	0.0	0.0806922377054927	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1684923552313327	0.0	0.0	0.0	0.0	0.0	0.40285158736220356	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.12	0.05869563279126468	0.0	0.0	0.0	0.19097239449435283	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0617275696332287	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07653624445236105	0.0	0.0	0.0	0.0	0.0	0.0600255703211647	0.14332202384861764	0.0	0.29200992714023605	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1167106373187744	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.13	0.024233979523112008	0.0	0.0	0.0	0.5254608080696312	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.242466824923643	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05826083046153242	0.0	0.14957755702208125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.14	0.12282362198966466	0.0	0.0	0.0	0.27590680145331625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3811074072023263	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22016216935469282	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.15	0.07401624974285759	0.0	0.0	0.0	0.24972916684715082	0.0	0.0	0.0	0.0	0.04610392739050587	0.0	0.0	0.5049648107892057	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12518584523028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.16	0.055101829956586725	0.12504215052866965	0.0	0.0	0.3514003033881498	0.0	0.0	0.0	0.0	0.13349421747475015	0.0	0.0	0.0527411723591453	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28222032629269844	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.17	0.04118974932313179	0.1530884194564216	0.0	0.0	0.07801394060559651	0.06845762069442184	0.0	0.0	0.0	0.09991518346226769	0.0	0.0	0.11887711604517026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20149801553831936	0.0	0.09825954050025182	0.0	0.0	0.0	0.0	0.0	0.0	0.14070041437441913	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.18	0.07923998303737728	0.0	0.0	0.0	0.10734855181294801	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03881004477501589	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15260467582835685	0.0	0.0	0.0	0.0	0.0	0.0	0.6219967445463019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.19	0.08130954872338882	0.12611661331751173	0.0	0.0	0.23167972813191404	0.0	0.0	0.0	0.0	0.03735512100401547	0.0	0.0	0.0	0.0	0.22029120195754068	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17786807881803318	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12537970804759602	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.20	0.008150658537266427	0.09691167863040533	0.0	0.0	0.49986419474755356	0.0	0.0	0.0	0.0	0.06729752346872789	0.0	0.0	0.054022857808139764	0.0	0.0	0.0	0.0	0.0	0.0	0.1147387683126504	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07176261486471092	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08725170363054569	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.21	0.3975702358213622	0.0	0.0	0.0	0.24616745755105818	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1176539281300891	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08559716589493375	0.15301121260255676	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.22	0.02765882040668482	0.0	0.0	0.0	0.19683916864743975	0.5432448047433049	0.0	0.0	0.0	0.0	0.0	0.0	0.022244324720037935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21001288148253264	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.23	0.35080533240497913	0.06689747099812991	0.0	0.0	0.23735983293126528	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16221366772279694	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18272369594282872	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.24	0.2045433736000873	0.16294963576923424	0.0	0.0	0.16387389939105268	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46863309123962577	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.25	0.14076353262421012	0.0	0.0	0.0	0.03036288990331937	0.0	0.0	0.0	0.0	0.07322385134392126	0.0	0.0	0.338108059771363	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1208101439094667	0.0	0.0	0.0	0.0	0.0	0.08568410658611311	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2110474158616065	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.26	0.026356939087342466	0.0	0.0	0.0	0.07109819983481393	0.5256312458910973	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3769136151867462	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.27	0.30457771842155174	0.0	0.0	0.0	0.10525063654397193	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4275521087651425	0.0	0.0	0.0	0.0	0.0	0.08960568791031749	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07301384835901645	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.28	0.13985456604265536	0.1523727294249011	0.0	0.0	0.12910828001960278	0.0	0.0	0.0	0.0	0.12501474531721748	0.0	0.0	0.2495408736368363	0.0	0.0	0.20410880555878694	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.29	0.11344181914632476	0.0	0.0	0.0	0.18970019468563576	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3321104943073259	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08521155402215194	0.0	0.03793753035227622	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2415984074862854	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.30	0.03889188360637837	0.07975628984585709	0.0	0.0	0.12315816018699989	0.0	0.0	0.0	0.0	0.09857273577430575	0.0	0.0	0.29824781317573656	0.0	0.0	0.0	0.0	0.0	0.17495036701423747	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06567208260450888	0.0	0.12075066779197596	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.31	0.04334050212880149	0.0	0.0	0.0	0.07603154950776038	0.0	0.0	0.0	0.0	0.126826700784908	0.0	0.0	0.13561080462826114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5288470744123546	0.0	0.0	0.0	0.0	0.08934336853791434	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.32	0.24321264480334917	0.0	0.0	0.0	0.15782725083822355	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05648410354598468	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09567103545020197	0.0	0.44680496536224074	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.33	0.03541441711501928	0.0	0.0	0.0	0.1664300027318704	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5927137138625801	0.20544186629053027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.34	0.28042433882118917	0.0	0.0	0.0	0.1561552442870217	0.0	0.0	0.0	0.0	0.20536323840661816	0.0	0.0	0.0	0.0	0.0	0.061072923592123074	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07424266117909376	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22274159371395408	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.35	0.2337964924125321	0.0	0.0	0.0	0.11316745036894285	0.0	0.0	0.0	0.0	0.12286483113631567	0.0	0.0	0.2641367574271942	0.0	0.0	0.0	0.0	0.0	0.07272235726507176	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.079682516771706	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11362959461823736	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Bladder-TCC::S.1	0.0694796426534066	0.0	0.0	0.0	0.20752446216721177	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4605739411662101	0.11604593484311007	0.0	0.0	0.06134684549527071	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08502917367479074	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Bladder-TCC::S.2	0.027830966572242936	0.07507693477562527	0.0	0.0	0.1326013584529234	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4811256679805955	0.0	0.0	0.059540238923729345	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07709963456618533	0.06437288124687462	0.0	0.08235231748182367	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Bladder-TCC::S.3	0.09620281089455524	0.09903538064573296	0.0	0.0	0.24353453542086959	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3501067175104465	0.0	0.0	0.04288332731058751	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16823722821780818	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Bladder-TCC::S.4	0.022094717251637638	0.0	0.0	0.0	0.1454504790710829	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7481215488881895	0.0	0.0	0.0843332547890899	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
