Samples	SBS1	SBS2	SBS3	SBS4	SBS5	SBS6	SBS7a	SBS7b	SBS7c	SBS8	SBS9	SBS10a	SBS11	SBS12	SBS13	SBS14	SBS15	SBS16	SBS17a	SBS17b	SBS18	SBS19	SBS21	SBS22	SBS26	SBS28	SBS30	SBS33	SBS35	SBS36	SBS37	SBS38	SBS39	SBS40	SBS60	SBS55	SBS44	SBS61	SBS62	SBS63	SBS64	SBS65	SBS66	SBS67	SBS68	SBS69	SBS70	SBS71	SBS72	SBS73	SBS74	SBS75	SBS76	SBS77	SBS78	SBS79	SBS80	SBS81	SBS82	SBS83
Syn.Biliary-AdenoCA::S.1	0.04327541157042706	0.07640764764699064	0.0	0.0	0.32463558282767313	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24912961082688026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.155917786424101	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15063396070392784	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.2	0.12089401675569564	0.23960865118598662	0.0	0.0	0.13400130032950827	0.0	0.0	0.0	0.0	0.1157563710784975	0.0	0.0	0.0	0.23886540530737324	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0639802579899086	0.0	0.0	0.08689399735303015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.3	0.17888195878111332	0.057130684403497875	0.0	0.0	0.2844490556079357	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05894310717486891	0.0	0.0	0.0	0.0	0.0	0.04225962738037495	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16836473253249964	0.0	0.0	0.2099708341197096	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.4	0.1730695214570149	0.04478277975556063	0.0	0.0	0.11732518733623472	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1563861358878807	0.0	0.0	0.0	0.0	0.0	0.17825712249275558	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06616402531805234	0.0	0.0	0.201015776904233	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06299945084826827	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.5	0.16372629871461755	0.0	0.0	0.0	0.11732815076939541	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3070843888356405	0.0	0.0	0.0	0.0	0.0	0.044929583997834685	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.060402085468624966	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14842056271800522	0.0	0.0	0.0	0.0	0.15810892949588157	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.6	0.10903190158375414	0.04685058605908882	0.0	0.0	0.05238626425464506	0.0	0.0	0.0	0.0	0.26000942202787686	0.0	0.0	0.0	0.29096361575372487	0.0	0.0	0.0	0.0	0.0	0.03515696297756601	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07439489131199303	0.0	0.0	0.06577811615604087	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06542823987531048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.7	0.09756448634673807	0.3189602473958187	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19262840252678975	0.1361215691833185	0.0	0.0	0.25472529454733506	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.8	0.0	0.17693848108967472	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19960358960745803	0.0	0.0	0.0	0.0	0.0	0.12948297540897735	0.20763211613742452	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28634283775646535	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.9	0.0	0.04969815571332021	0.0	0.0	0.3173608229943492	0.0	0.0	0.0	0.0	0.10541419538718176	0.0	0.0	0.0	0.2347996496895965	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05002890385336762	0.05606929394549957	0.0	0.0	0.0	0.0	0.0	0.0	0.18662897841668522	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.10	0.03378716493954726	0.0	0.0	0.0	0.1079280355748476	0.0	0.0	0.0	0.0	0.30874936806170783	0.0	0.0	0.0	0.15540506064180798	0.0	0.14690298378683678	0.0	0.0	0.0	0.03106789450939369	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06070584966965102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15545364281620785	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
