Samples	SBS1	SBS2	SBS3	SBS4	SBS5	SBS6	SBS7a	SBS7b	SBS7c	SBS8	SBS9	SBS10a	SBS11	SBS12	SBS13	SBS14	SBS15	SBS16	SBS17a	SBS17b	SBS18	SBS19	SBS21	SBS22	SBS26	SBS28	SBS30	SBS33	SBS35	SBS36	SBS37	SBS38	SBS39	SBS40	SBS60	SBS55	SBS44	SBS61	SBS62	SBS63	SBS64	SBS65	SBS66	SBS67	SBS68	SBS69	SBS70	SBS71	SBS72	SBS73	SBS74	SBS75	SBS76	SBS77	SBS78	SBS79	SBS80	SBS81	SBS82	SBS83
Syn.Biliary-AdenoCA::S.1	0.0455005055611729	0.06390293225480283	0.0	0.0	0.39069767441860465	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28028311425682506	0.03680485338725986	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18281092012133468	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.2	0.12453874538745388	0.23616236162361623	0.0	0.0	0.15198339483394835	0.0	0.0	0.0	0.0	0.14621771217712176	0.0	0.0	0.0	0.257380073800738	0.021448339483394835	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06226937269372694	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.3	0.1800670016750419	0.05513679508654383	0.0	0.0	0.3454773869346734	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04383026242322725	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16275823562255723	0.0	0.0	0.21273031825795644	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.4	0.17255062944718116	0.05966064586754242	0.0	0.0	0.13108921729611384	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1477832512315271	0.021893814997263273	0.0	0.0	0.0	0.0	0.17788724685276408	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06403940886699508	0.0	0.0	0.22509578544061304	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.5	0.1637732958897115	0.0	0.0	0.0	0.1173091651774317	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3069951493489916	0.0	0.0	0.0	0.0	0.0	0.04493234618330355	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.060377840183814147	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14845545059994894	0.0	0.0	0.0	0.0	0.15815675261679857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.6	0.11175924698395864	0.03977197401564364	0.0	0.0	0.06469574439878033	0.0	0.0	0.0	0.0	0.2817181492774758	0.0	0.0	0.0	0.30491846745326795	0.0	0.0	0.0	0.0	0.0	0.036855362587829774	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07410844491581599	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0861726103672279	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.7	0.09885406599475355	0.3099544387684661	0.0	0.0	0.11431727184868148	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04583736020985779	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19494684522987712	0.0	0.0	0.0	0.23609001794836393	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.8	0.031269446172993154	0.17003733665214685	0.0	0.0	0.09614187927815805	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1572806471686372	0.0	0.0	0.0	0.0	0.0	0.12756689483509645	0.18419415059116365	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2335096453018046	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.9	0.03404099560761347	0.04410688140556369	0.0	0.0	0.3614568081991215	0.0	0.0	0.0	0.0	0.1374450951683748	0.0	0.0	0.0	0.24816983894582723	0.018667642752562226	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15611273792093705	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.10	0.03470741530443023	0.0	0.0	0.0	0.1257995735607676	0.0	0.0	0.0	0.0	0.33131959251362236	0.0	0.0	0.0	0.1648898365316276	0.0	0.14913527600094764	0.0	0.0	0.0	0.032693674484719264	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16145463160388535	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
