Samples	SBS1	SBS2	SBS3	SBS4	SBS5	SBS6	SBS7a	SBS7b	SBS7c	SBS8	SBS9	SBS10a	SBS12	SBS13	SBS14	SBS15	SBS16	SBS17a	SBS17b	SBS18	SBS19	SBS21	SBS22	SBS26	SBS28	SBS30	SBS35	SBS36	SBS37	SBS39	SBS40	SBS55	SBS44	SBS61	SBS62	SBS63	SBS64	SBS65	SBS66	SBS67	SBS68	SBS69	SBS70	SBS71	SBS72	SBS73	SBS74	SBS75	SBS76	SBS77	SBS78	SBS79	SBS80	SBS81	SBS11	SBS33	SBS38	SBS60	SBS82	SBS83
Syn.Biliary-AdenoCA::S.1	0.04278393003898562	0.07672766270510165	0.0	0.0	0.30241665445953825	0.0	0.0	0.0	0.0	0.03875187321309441	0.0	0.0	0.25533460045608386	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1426804048822407	0.0	0.0	0.0	0.0	0.0	0.0	0.14130487424495547	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.2	0.12084977539687497	0.23948398275818358	0.0	0.0	0.13398894352721147	0.0	0.0	0.0	0.0	0.11578147442707139	0.0	0.0	0.23880832892961448	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06396305882471473	0.0	0.08712443613632943	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.3	0.17918381769960917	0.05776645868230039	0.0	0.0	0.27891181895589057	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07366151758793969	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16920912185929646	0.0	0.2412672652149637	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.4	0.17537877750410508	0.0	0.0	0.0	0.15224331431308155	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16055878379857688	0.0	0.0	0.0	0.0	0.0	0.1791897472632731	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06299287027914613	0.0	0.1368274950738916	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13280901176792553	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.5	0.16045169825892927	0.0	0.0	0.0	0.1366860319296255	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31927417032413513	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05798181185320167	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16738091207140426	0.0	0.0	0.0	0.0	0.1582253755627043	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.6	0.11216524274161474	0.0	0.0	0.0	0.07306273538379955	0.0	0.0	0.0	0.0	0.27926339254938354	0.0	0.0	0.3109880845817314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07251167864244995	0.0	0.0120542182155641	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13995464788545672	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.7	0.09522033065094293	0.30649693244422244	0.0	0.0	0.04472001159123015	0.0	0.0	0.0	0.0	0.08696105797501573	0.0	0.0	0.05721772966212651	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19234631807367855	0.0	0.0	0.21703761960278373	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.8	0.03133740478666188	0.16518016658911322	0.0	0.0	0.10936001771789669	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15600804415743497	0.0	0.0	0.0	0.0	0.0	0.12577542017333923	0.17903821574688267	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2333007308286713	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.9	0.03263683089909166	0.0	0.0	0.0	0.4587713434221763	0.0	0.0	0.0	0.0	0.1160267373931235	0.0	0.0	0.20910369989185645	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1834613883937521	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.10	0.03309417732764747	0.0	0.0	0.0	0.10349421452262496	0.0	0.0	0.0	0.0	0.30962382231698643	0.0	0.0	0.16431122553897176	0.0	0.1481464080786543	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07953764783226722	0.0	0.0	0.0	0.0	0.0	0.0	0.16179250438284762	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
