Samples	SBS1	SBS2	SBS3	SBS4	SBS5	SBS6	SBS7a	SBS7b	SBS7c	SBS8	SBS9	SBS10a	SBS12	SBS13	SBS14	SBS15	SBS16	SBS17a	SBS17b	SBS18	SBS19	SBS21	SBS22	SBS26	SBS28	SBS30	SBS35	SBS36	SBS37	SBS39	SBS40	SBS55	SBS44	SBS61	SBS62	SBS63	SBS64	SBS65	SBS66	SBS67	SBS68	SBS69	SBS70	SBS71	SBS72	SBS73	SBS74	SBS75	SBS76	SBS77	SBS78	SBS79	SBS80	SBS81	SBS11	SBS33	SBS38	SBS60	SBS82	SBS83
Syn.Biliary-AdenoCA::S.1	0.042068866144257894	0.07879964463173258	0.0	0.0	0.2900249877194004	0.0	0.0	0.0	0.0	0.04512329455412763	0.0	0.0	0.26958464476214533	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13274197784039993	0.0	0.0	0.0	0.0	0.0	0.0	0.1416565843479363	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.2	0.12124190955800287	0.2425639760287208	0.0	0.0	0.13036090310808388	0.0	0.0	0.0	0.0	0.11818812312336387	0.0	0.0	0.24475162324188227	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06398419238931476	0.0	0.07890927255063154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.3	0.17640017331626281	0.05763722039038874	0.0	0.0	0.25183627723665913	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08874080667583914	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17132002744660924	0.0	0.2540654949342411	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.4	0.17475777070829554	0.0	0.0	0.0	0.11855797163025464	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16494835352237544	0.0	0.0	0.0	0.0	0.0	0.18032762370031474	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0657857644023368	0.0	0.16575043535687076	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1298720806795521	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.5	0.14806377413326377	0.0	0.0	0.0	0.11253158344057115	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3314666945136376	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.052286577828141195	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19601137201911192	0.0	0.0	0.0	0.0	0.1596399980652744	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.6	0.11115817245099381	0.0	0.0	0.0	0.04582878653038041	0.0	0.0	0.0	0.0	0.25690107211736407	0.0	0.0	0.3232073551461031	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07258493550914664	0.0	0.05855196188528894	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13176771636072304	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.7	0.09120086947819932	0.3073286763614297	0.0	0.0	0.031658160994174095	0.0	0.0	0.0	0.0	0.07502144297737517	0.0	0.0	0.05625515480135143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19616588010090055	0.0	0.0	0.2423698152865698	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.8	0.032486465431037226	0.1662370526926703	0.0	0.0	0.08525224886037047	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.172912795773402	0.0	0.0	0.0	0.0	0.0	0.1309506755866468	0.18909957698588145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22306118466999184	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.9	0.03051985993511958	0.0	0.0	0.0	0.43800974159877765	0.0	0.0	0.0	0.0	0.11374360631290079	0.0	0.0	0.23301246397050426	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18471432818269773	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.10	0.026808902970342687	0.0	0.0	0.0	0.08486369081363243	0.0	0.0	0.0	0.0	0.303474223394088	0.0	0.0	0.17328763204050895	0.0	0.16366539175252448	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07033747045277032	0.0	0.0	0.0	0.0	0.0	0.0	0.1775626885761331	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syn.Biliary-AdenoCA::S.11	0.08655700283588044	0.0	0.0	0.0	0.12492752102798446	0.0	0.0	0.0	0.0	0.10719160354769804	0.0	0.0	0.09815102246914985	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15660871461479545	0.0	0.0	0.0	0.0	0.0	0.42656413550449174	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
